;index;Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;Пример группировки (для первых 20 сделок)
0;1586;261500000.0;0.0;30.04.2018;39;0.8495;0;
1;2152;50000000.0;0.0;06.05.2018;45;0.905;0;
2;9;50000000.0;0.0;07.06.2018;77;0.934;21;5.0
3;8;0.0;50000000.0;28.04.2018;37;0.9745;1;4.0
4;1587;82000000.0;0.0;15.05.2018;54;0.98;1;
5;1671;0.0;50000000.0;24.05.2018;63;1.03;1;
6;1515;0.0;50000000.0;26.05.2018;65;1.056;1;
7;473;76000000.0;0.0;18.05.2018;57;1.236;2;
8;637;100000000.0;0.0;04.06.2018;74;1.245;2;
9;1893;0.0;163000000.0;19.05.2018;58;1.34;2;
10;1894;25500000.0;0.0;06.06.2018;76;1.383;2;
11;979;0.0;15000000.0;08.05.2018;47;1.405;3;
12;1895;40000000.0;0.0;27.04.2018;36;1.4685;3;
13;1072;0.0;21000000.0;27.04.2018;36;1.4725;3;
14;1688;21000000.0;0.0;27.04.2018;36;1.5622;4;
15;371;0.0;40000000.0;27.04.2018;36;1.5622;4;
16;561;62000000.0;0.0;15.05.2018;54;1.6162;4;
17;581;0.0;51200000.0;17.05.2018;56;1.6181;4;
18;1413;0.0;101500000.0;17.05.2018;56;1.6181;4;
19;1692;0.0;90000000.0;04.06.2018;74;1.668;5;
20;1693;0.0;80000000.0;04.06.2018;74;1.668;5;
21;1188;25864700.0;0.0;04.06.2018;74;1.668;5;
22;1187;90000000.0;0.0;04.06.2018;74;1.668;5;
23;1155;80000000.0;0.0;04.06.2018;74;1.668;5;
24;790;0.0;320000000.0;11.06.2018;81;1.7225;5;
25;1988;0.0;115000000.0;11.06.2018;81;1.7225;5;
26;1256;115000000.0;0.0;11.06.2018;81;1.7225;5;
27;1137;320000000.0;0.0;11.06.2018;81;1.7225;5;
28;1687;20500000.0;0.0;24.04.2018;33;1.7413;6;
29;401;0.0;2100000.0;24.04.2018;33;1.7413;6;
30;2022;10000000.0;0.0;24.04.2018;33;1.7413;6;
31;402;16000000.0;0.0;24.04.2018;33;1.7413;6;
32;323;56200000.0;0.0;24.04.2018;33;1.7413;6;
33;1655;0.0;104000000.0;24.04.2018;33;1.7413;6;
34;439;0.0;31000000.0;24.04.2018;33;1.7413;6;
35;748;10400000.0;0.0;24.04.2018;33;1.7413;6;
36;184;0.0;106000000.0;24.04.2018;33;1.7413;6;
37;159;2100000.0;0.0;24.04.2018;33;1.7413;6;
38;749;10400000.0;0.0;24.04.2018;33;1.7413;6;
39;1235;0.0;26300000.0;24.04.2018;33;1.7413;6;
40;1104;50000000.0;0.0;24.04.2018;33;1.7413;6;
41;1401;1100000.0;0.0;24.04.2018;33;1.7413;6;
42;1403;0.0;106000000.0;24.04.2018;33;1.7413;6;
43;1970;175000000.0;0.0;24.04.2018;33;1.7413;6;
44;1139;0.0;10400000.0;24.04.2018;33;1.7413;6;
45;1402;56200000.0;0.0;24.04.2018;33;1.7413;6;
46;255;8700000.0;0.0;24.04.2018;33;1.7413;6;
47;673;5400000.0;0.0;24.04.2018;33;1.7413;6;
48;247;0.0;11100000.0;24.04.2018;33;1.7413;6;
49;1775;0.0;10400000.0;24.04.2018;33;1.7413;6;
50;1654;22800000.0;0.0;24.04.2018;33;1.7413;6;
51;860;60000000.0;0.0;24.04.2018;33;1.7413;6;
52;1308;54800000.0;0.0;24.04.2018;33;1.7413;6;
53;1907;10300000.0;0.0;24.04.2018;33;1.7413;6;
54;183;11200000.0;0.0;24.04.2018;33;1.7413;6;
55;1082;0.0;25000000.0;24.04.2018;33;1.7413;6;
56;324;0.0;31800000.0;24.04.2018;33;1.7413;6;
57;1081;51000000.0;0.0;24.04.2018;33;1.7413;6;
58;158;10000000.0;0.0;24.04.2018;33;1.7413;6;
59;2135;0.0;20800000.0;24.04.2018;33;1.7413;6;
60;1011;50300000.0;0.0;24.04.2018;33;1.7413;6;
61;361;12700000.0;0.0;24.04.2018;33;1.7413;6;
62;939;0.0;11200000.0;24.04.2018;33;1.7413;6;
63;940;11200000.0;0.0;24.04.2018;33;1.7413;6;
64;1776;0.0;38600000.0;24.04.2018;33;1.7413;6;
65;2023;2100000.0;0.0;24.04.2018;33;1.7413;6;
66;1653;10000000.0;0.0;24.04.2018;33;1.7413;6;
67;1652;0.0;54700000.0;24.04.2018;33;1.7413;6;
68;70;0.0;25000000.0;24.04.2018;33;1.7413;6;
69;69;25000000.0;0.0;24.04.2018;33;1.7413;6;
70;1971;25000000.0;0.0;24.04.2018;33;1.7413;6;
71;1960;0.0;31000000.0;23.04.2018;32;1.7445;6;
72;500;0.0;10300000.0;23.04.2018;32;1.7445;6;
73;480;0.0;10500000.0;23.04.2018;32;1.7445;6;
74;481;0.0;40000000.0;23.04.2018;32;1.7445;6;
75;499;20700000.0;0.0;23.04.2018;32;1.7445;6;
76;1216;10000000.0;0.0;23.04.2018;32;1.7445;6;
77;1773;10400000.0;0.0;23.04.2018;32;1.7445;6;
78;1774;10000000.0;0.0;23.04.2018;32;1.7445;6;
79;1950;5400000.0;0.0;23.04.2018;32;1.7445;6;
80;1438;14300000.0;0.0;23.04.2018;32;1.7445;6;
81;1906;0.0;38200000.0;23.04.2018;32;1.7445;6;
82;322;0.0;11200000.0;23.04.2018;32;1.7445;6;
83;321;5600000.0;0.0;23.04.2018;32;1.7445;6;
84;1160;0.0;17000000.0;23.04.2018;32;1.7445;6;
85;682;0.0;20900000.0;23.04.2018;32;1.7445;6;
86;1190;0.0;30000000.0;23.04.2018;32;1.7445;6;
87;672;10300000.0;0.0;23.04.2018;32;1.7445;6;
88;1168;0.0;62000000.0;23.04.2018;32;1.7445;6;
89;1180;0.0;20000000.0;23.04.2018;32;1.7445;6;
90;681;0.0;20900000.0;23.04.2018;32;1.7445;6;
91;680;0.0;10500000.0;23.04.2018;32;1.7445;6;
92;1191;0.0;12000000.0;23.04.2018;32;1.7445;6;
93;1651;10000000.0;0.0;23.04.2018;32;1.7445;6;
94;269;0.0;26000000.0;23.04.2018;32;1.7445;6;
95;268;10900000.0;0.0;23.04.2018;32;1.7445;6;
96;1686;10200000.0;0.0;23.04.2018;32;1.7445;6;
97;1685;0.0;16300000.0;23.04.2018;32;1.7445;6;
98;937;0.0;11200000.0;23.04.2018;32;1.7445;6;
99;1476;16800000.0;0.0;23.04.2018;32;1.7445;6;
100;1928;20700000.0;0.0;23.04.2018;32;1.7445;6;
101;463;0.0;7500000.0;23.04.2018;32;1.7445;6;
102;872;0.0;10000000.0;23.04.2018;32;1.7445;6;
103;1307;10000000.0;0.0;23.04.2018;32;1.7445;6;
104;370;30800000.0;0.0;23.04.2018;32;1.7445;6;
105;1991;0.0;20500000.0;23.04.2018;32;1.7445;6;
106;1010;52000000.0;0.0;23.04.2018;32;1.7445;6;
107;1306;10000000.0;0.0;23.04.2018;32;1.7445;6;
108;1949;72000000.0;0.0;23.04.2018;32;1.7447;6;
109;1664;200000000.0;0.0;23.04.2018;32;1.7447;6;
110;1257;20900000.0;0.0;23.04.2018;32;1.7447;6;
111;1640;0.0;130000000.0;23.04.2018;32;1.7447;6;
112;1947;0.0;20500000.0;23.04.2018;32;1.7447;6;
113;368;20500000.0;0.0;23.04.2018;32;1.7447;6;
114;360;30900000.0;0.0;23.04.2018;32;1.7447;6;
115;367;10300000.0;0.0;23.04.2018;32;1.7447;6;
116;751;0.0;20500000.0;23.04.2018;32;1.7447;6;
117;752;0.0;5000000.0;23.04.2018;32;1.7447;6;
118;747;10400000.0;0.0;23.04.2018;32;1.7447;6;
119;753;0.0;26700000.0;23.04.2018;32;1.7447;6;
120;1646;16000000.0;0.0;23.04.2018;32;1.7447;6;
121;756;0.0;75000000.0;23.04.2018;32;1.7447;6;
122;162;20800000.0;0.0;23.04.2018;32;1.7447;6;
123;1437;20500000.0;0.0;23.04.2018;32;1.7447;6;
